ciudad,articulo,rmse,mape
CALI,ACEITE DE GIRASOL,266.9436004019293,4.440486038221982
CALI,ACEITE DE SOYA O DE MAÍZ,75.266174319235,1.9039024661905033
CALI,AGUACATE,1666.298010144064,73.77172239558033
CALI,AHUYAMA,318.26708263069304,40.61582474930155
CALI,AJO,1707.7749131905744,18.58824584864177
CALI,ARRACACHA,581.1312699309099,17.887281878158877
CALI,ARROZ INTEGRAL,156.89980639426454,8.416426567307072
CALI,ARROZ PARA SECO,8.78575707573683,0.5372278204488765
CALI,ARVEJA FRESCA,1498.612921000529,25.08593468907015
CALI,ARVEJA SECA,498.25920540659666,35.7385314344873
CALI,ARVEJA TARRO,23.230432125378886,0.5573104123136003
CALI,AVENA HOJUELAS,228.0811609069976,3.3487974643308833
CALI,AVENA MOLIDA,85.85375753092477,1.1803322782254206
CALI,AZÚCAR NATURAL O MORENA,9.608771736789008,0.5865823711778163
CALI,AZÚCAR REFINADA,10.07736885934769,0.5769110906549633
CALI,BANANOS,4.939659015202758,0.5270744349534052
CALI,CAFÉ MOLIDO,94.92627837564972,1.0174488544303246
CALI,CAMARONES O VARIEDAD DISPONIBLE,2447.134641895839,7.603205047570408
CALI,CARNE DE CERDO CON HUESO,131.08390575682955,1.8636010461330839
CALI,CARNE DE CERDO SIN HUESO,75.98602259716941,0.8769784415084919
CALI,CARNE DE RES CON HUESO,112.5442410663733,3.0874630704532064
CALI,CARNE DE RES SIN HUESO,43.642218280904274,0.45643739239404857
CALI,CEBOLLA CABEZONA,285.7109318299691,16.398907481607758
CALI,CEBOLLA LARGA,580.1999040327944,38.943859533441255
CALI,CURUBAS,532.5358746491181,31.17291827425025
CALI,FRÍJOL FRESCO,1468.638031932315,28.557855582102782
CALI,FRÍJOL SECO,506.0137059511014,14.3687727617273
CALI,FRÍJOL TARRO,108.43209129960566,1.7299357974225686
CALI,GUAYABAS,525.1236646890952,43.13683715003109
CALI,HABICHUELAS FRESCAS,351.88136705218426,16.383856714109715
CALI,HARINA DE TRIGO,124.6206580174029,6.293407365770289
CALI,HARINA PRECOCIDA,144.3509950291992,7.177333561525753
CALI,HUEVOS,47.813470400321265,1.0568488869171162
CALI,LECHE EN POLVO ENTERA,379.98946897478555,2.5229918596331595
CALI,LECHE EN POLVO LACTANTE,3286.5946183619203,8.463381684983975
CALI,LECHE LARGA VIDA,30.087957721364983,1.5571217468625598
CALI,LECHE PASTEURIZADA,42.66096961516959,3.3309897429277613
CALI,LECHUGA,477.06728343086036,47.32793351687011
CALI,LENTEJAS,416.7199347669468,14.17996329226473
CALI,LIMONES,304.8873393471154,25.596062968859783
CALI,LULOS,628.054326085706,34.679163693134925
CALI,MANTECA VEGETAL,354.0728591851917,9.205037738126148
CALI,MANZANAS,1225.223145424851,33.73535952950865
CALI,MARACUYA,264.0787970313648,12.150783486901624
CALI,MORAS,30.44675530767427,0.9746711039210935
CALI,NARANJAS,7.563504084008753,0.8461973989366539
CALI,PAN CORRIENTE,8.48184390962828,0.228983035531622
CALI,PAN FRANCÉS,253.95297453645998,6.80474537987367
CALI,PAN INTEGRAL,96.87365675114854,2.3326778487810462
CALI,PANELA,5.003735678417346,0.21038271307868014
CALI,PAPA,64.60775642878488,6.856011698988232
CALI,PAPA CRIOLLA,595.2365694868088,26.095887903025865
CALI,PASTA PARA SECO,66.18956304980637,1.707788115244339
CALI,PASTA PARA SOPA,59.75120222889405,1.2150651675699806
CALI,PESCADO DE MAR,729.343568259531,4.290422937999222
CALI,PESCADO DE RÍO,939.912298146087,10.586813900084596
CALI,PESCADO ENLATADO,271.20149381838564,1.7538882049051592
CALI,PIÑAS,408.0635505590207,46.479438128650024
CALI,PLÁTANO,6.053328113284696,0.6803696363675127
CALI,POLLO DESPRESADO POR LIBRA,194.00704896415925,3.329662068319851
CALI,POLLO ENTERO POR LIBRA,122.0577776344926,2.6896920669825715
CALI,QUESO CAMPESINO,219.94020938976004,2.460391774734233
CALI,REPOLLO,624.2897628926859,87.29936949097593
CALI,SAL,2.0823591684732863,0.3153770257120508
CALI,TOMATE,5.811181678335052,0.3855794540639191
CALI,TOMATE DE ÁRBOL,3.89707529945976,0.2088309497562114
CALI,YUCA,3.242874172309634,0.25573802637496784
CALI,ZANAHORIA,6.175635635912076,0.47371599426458627
