articulo,m_q1,m_q2,m_q3
ACEITE DE SOYA O DE MAÍZ,2.9915067766198624,5.240375365794647,10.898340091116104
AGUACATE,18.450576432392918,30.72313203684749,48.94794981747427
AHUYAMA,53.59993602193401,83.869318239753,107.2110942196144
AJO,71.80478400867975,119.12668105595219,137.3153901472578
ARRACACHA,90.13316482518186,125.79967689822294,191.24861960031643
ARROZ PARA SECO,17.12499978770088,21.02572451970044,25.593416241223554
ARVEJA FRESCA,265.52724140573366,333.13164412269,439.14649164499684
ARVEJA SECA,2.7655556034668516,4.779845865947641,8.811433238056354
AVENA HOJUELAS,66.65772865863741,68.75619276384927,71.22156740216036
AVENA MOLIDA,76.31325482770265,78.70063655353393,82.23785773127683
AZÚCAR NATURAL O MORENA,7.18952495730737,9.855672184093667,13.573144243503465
BANANOS,71.92545201448945,86.45143872113677,92.47421712745609
CAFÉ MOLIDO,4.340891135838154,6.6599493184365866,8.709504286445325
CAMARONES O VARIEDAD DISPONIBLE,13.892029479974987,36.44857234338761,59.543762704071085
CARNE DE CERDO CON HUESO,19.664020201692693,46.190773676467074,94.07401675588505
CARNE DE CERDO SIN HUESO,8.583510950298107,19.323683253598556,30.36773694754823
CARNE DE RES SIN HUESO,8.177219116880874,16.131344581257643,36.169199295758816
CEBOLLA CABEZONA,46.64239894139503,77.18039346448818,131.4716778983611
CEBOLLA LARGA,90.56918596040875,109.89866141085653,136.09678277053976
CURUBAS,83.08280108359438,96.9992737835875,109.7162631328546
FRÍJOL FRESCO,60.499424732341865,112.18467881757252,257.2353785313203
GUAYABAS,44.36561889399753,55.87728847105395,73.43897579747767
HABICHUELAS FRESCAS,57.76239149083923,80.87242268041237,100.37545197985952
HARINA DE TRIGO,3.060968583072521,4.797650427116984,6.1733789351344885
HARINA PRECOCIDA,25.43607282273109,29.016581309264232,33.62019966696029
HUEVOS,30.95765271489799,36.29872736035878,40.83067656541769
LECHE EN POLVO ENTERA,0.8228047363115165,1.322085691047492,2.7260917919120664
LECHUGA,106.94816216987348,150.96563080456156,183.0400775908666
LENTEJAS,6.127857895962007,11.946733005858345,15.64378551425351
LIMONES,38.51094670000982,71.11937496214644,106.55098305737454
LULOS,23.081775291137287,38.89111754810574,53.64062673815195
MANGOS,34.75031686281351,85.43993010048057,135.34506321838143
MANZANAS,39.42262009244632,49.309831750028636,57.23185192718396
MARACUYA,42.9857975157076,59.87455309540237,81.94404247184559
MORAS,67.19164992394738,82.38018817970753,109.79935056169714
NARANJAS,66.53530094277147,93.34114666691053,122.95058039979943
PANELA,11.244838660477775,15.201925809525395,19.188191731927773
PAPA,49.412663106614204,78.10516844116844,121.34264118578784
PAPA CRIOLLA,89.65569701516732,130.30345466696494,164.57554374513415
PASTA PARA SECO,3.2011671875770977,8.78039230061589,26.07855801890588
PESCADO DE MAR,22.758447121820602,72.3175919890976,92.62608324097687
PESCADO DE RÍO,16.192913562002516,33.30698455191966,54.461224324643524
PIÑAS,28.910665686202673,59.88477705697812,75.17437201438797
PLÁTANO,27.31686333778991,42.26686757073499,55.093833780160864
POLLO DESPRESADO POR LIBRA,14.466548565828653,46.685514393852515,98.35047750546542
POLLO ENTERO POR LIBRA,19.994870787246064,24.055224430525147,26.10021904636305
QUESO CAMPESINO,50.07174612076419,52.476160116580914,55.695411135991236
REPOLLO,62.53470365546188,118.99712156783848,204.11743220510783
SAL,13.76263266669685,17.96547598701077,22.28210370868837
TOMATE,16.390374259641245,31.758026037865726,54.79584174886945
TOMATE DE ÁRBOL,48.04214407382899,68.35825722983256,90.66962131967952
YUCA,91.10581317834213,114.10707869205892,141.24704144221909
ZANAHORIA,49.4453100974288,82.83430521974115,154.4000322758533
