alimento_sipsa,n_test,RMSE,MAPE,COVER_95
Aguacate papelillo,19,605.845642344859,22.149907333960233,42.10526315789473
Ahuyama,19,676.5617663948041,73.16009035164491,15.789473684210526
Arracacha amarilla,19,Inf,Inf,0
Arroz de primera,19,474.5711813743388,26.394808885478906,5.263157894736842
Arveja verde en vaina pastusa,19,5397220787276445e11,21554849576142074e8,10.526315789473683
Arveja verde seca importada,19,53.42158705612003,3.5692715444064023,36.84210526315789
Avena en hojuelas,19,248.19108421416328,3.516241910829675,68.42105263157895
Avena molida,19,332.62215880501157,4.696229151836512,0
Azúcar morena,19,292.90730995379687,14.781791047925466,26.31578947368421
Azúcar sulfitada,19,1232.2558683292875,70.81952865007563,10.526315789473683
Banano criollo,19,566.6413203721975,56.63124565466974,0
Bocachico importado congelado,19,797235345754741100,2567839452552626.5,0
Café molido,19,395.7027176265628,4.489552281512137,15.789473684210526
"Carne de cerdo, costilla",19,3988.434920632458,55.898962102274474,0
"Carne de cerdo, espinazo",19,1082.6514117386405,16.961299590975294,0
"Carne de res, cadera",19,1788.854444981471,18.065582303729308,5.263157894736842
"Carne de res, costilla",19,1254.0687132885291,24.43079993010683,15.789473684210526
"Carne de res, falda",19,925.0895110941547,8.84742090511217,10.526315789473683
"Carne de res, lomo de brazo",13,NA,NA,NA
"Carne de res, lomo fino",13,NA,NA,NA
"Carne de res, pecho",19,2555.298755821244,24.03065800081041,5.263157894736842
"Carne de res, punta de anca",19,794.4771638150576,7.791314007089521,5.263157894736842
Cebolla cabezona blanca bogotana,19,Inf,Inf,0
Cebolla cabezona blanca pastusa,19,1692.0634815366288,119.41002922983117,42.10526315789473
Cebolla cabezona roja importada,12,NA,NA,NA
Curuba,19,611.6385217072951,30.07596510646352,26.31578947368421
Fríjol verde cargamanto,19,1175.0075550374333,18.977237196772606,63.1578947368421
Habichuela,19,1329.5563133077865,73.43195228957346,63.1578947368421
Harina de trigo,19,128.9014063430417,6.7394960494627165,26.31578947368421
Harina precocida de maíz,19,Inf,Inf,0
Huevo blanco extra,12,NA,NA,NA
Huevo rojo A,19,511.1822938529086,12.201955652338766,10.526315789473683
Huevo rojo AA,19,87.0042003536983,2.1723563231828904,78.94736842105263
Huevo rojo extra,15,NA,NA,NA
Leche en polvo,19,428.4271840584883,2.593333463300736,73.68421052631578
Lechuga Batavia,19,Inf,Inf,0
Lenteja importada,19,13504039221199847e22,1405149196624766e21,15.789473684210526
Limón Tahití,19,1175.1554754786837,96.19989965652648,0
Lomitos de atún en lata,19,4655.587162254024,23.21025699129453,42.10526315789473
Lulo,19,2361060273697369e30,4124107288682981e28,26.31578947368421
Mango común,12,NA,NA,NA
Manzana roja importada,19,1660.6288569340213,33.32697366009918,15.789473684210526
Manzana royal gala importada,19,Inf,Inf,15.789473684210526
Manzana verde importada,19,421.37278695884595,9.067493935859563,68.42105263157895
Maracuyá,19,23240.78143370612,480.9606127848293,26.31578947368421
Margarina,19,271.88190984838826,6.686814407380071,26.31578947368421
Mora de Castilla,19,851.5547192933914,29.04629471340558,26.31578947368421
Naranja Sweet,16,NA,NA,NA
Naranja Valencia,16,NA,NA,NA
Panela redonda morena,19,205843414613.4184,2276258133.2836995,5.263157894736842
Papa Betina,16,NA,NA,NA
Papa capira,19,643.0454093748398,93.05991297161846,0
Papa criolla limpia,19,437.511577732862,21.159598257384236,89.47368421052632
Papa criolla sucia,19,11876.845453383448,247.99672908264907,26.31578947368421
Papa nevada,16,NA,NA,NA
Papa parda pastusa,19,641.2244071923262,92.68341124708701,0
Papa suprema,19,642.0077181908953,92.71794226665455,0
Papa única,19,645.1303983284706,93.84557294262001,0
Pastas alimenticias,19,2176.669006023024,62.439691086794,10.526315789473683
Pechuga de pollo,19,294.7239218726855,5.498497091833504,52.63157894736842
Piña gold,19,496.0890574251647,60.1432247734698,10.526315789473683
Piña manzana,19,Inf,Inf,0
Pollo entero congelado sin vísceras,19,4092846428974567e3,24153514473039180,5.263157894736842
Queso campesino,19,145.8127287262392,1.4388669034909503,84.21052631578947
Repollo blanco,19,222.024861989939,21.17032579555091,78.94736842105263
Sal yodada,19,1254.2310562264452,144.29098498626846,5.263157894736842
Tilapia roja entera congelada,19,8575.946076487086,47.532565369333476,0
Tomate de árbol,19,7408668041879875e50,1594462387503752e49,21.052631578947366
Tomate larga vida,19,Inf,Inf,5.263157894736842
Zanahoria,19,911.2173230152808,65.74437554697205,5.263157894736842
