alimento_sipsa,margen_exp,margen_lo,margen_hi
Aguacate papelillo,1.7561693820541264,1.2596947825652995,2.4483160057102946
Ahuyama,1.4171462190839306,1.1635196023415386,1.7260589355110532
Arracacha amarilla,1.9815700454826095,1.7212071652131207,2.2813173942764498
Arroz de primera,2.377943907072835,2.1806702409556085,2.5930638750345247
Arveja verde en vaina pastusa,1.8428625627566542,1.4471710731955971,2.3467456530282695
Arveja verde seca importada,1.4522075648715291,1.0209469017557464,2.065638093267495
Avena en hojuelas,2.673159729205245,2.243368757595224,3.18529127841852
Avena molida,3.477288701919768,3.086279432325736,3.9178360163541677
Azúcar morena,2.2069307450379094,2.061158808782856,2.3630121525035266
Azúcar sulfitada,1.9464975207499942,1.7936637054687032,2.1123539416748174
Banano criollo,1.6282856796720417,1.5478583086348248,1.712892090855164
Bocachico importado congelado,4.545427822326913,4.0970861985080065,5.0428311944004145
Café molido,0.5878682598392632,0.4382376970020239,0.7885882325747238
"Carne de cerdo, costilla",1.0448202329663696,0.8900015827616815,1.2265700874693986
"Carne de cerdo, espinazo",0.735228358447879,0.6819428571584139,0.792677470541189
"Carne de res, cadera",1.850575963013358,1.665738106726583,2.0559242662777972
"Carne de res, costilla",0.9336333906102261,0.8183831570051773,1.065113939114014
"Carne de res, falda",4.048195308406815,3.4166337837442495,4.796500383792278
"Carne de res, lomo de brazo",1.426174977071068,1.3623824612543443,1.4929545286064403
"Carne de res, lomo fino",1.741672056480445,1.5556024051329234,1.9499979829779337
"Carne de res, pecho",1.6046502786008339,1.4548672285026816,1.7698539537960236
"Carne de res, punta de anca",1.6485601115368396,1.5473568587740736,1.756382456923061
Cebolla cabezona blanca bogotana,1.8185634047563917,1.4116312676579332,2.342802212511316
Cebolla cabezona blanca pastusa,1.4758603187728665,1.0661206063257107,2.0430743647617815
Curuba,1.432398474210542,1.0354813545454755,1.981460486868265
Fríjol verde cargamanto,1.7097202658092185,1.4736156499919246,1.9836538702169482
Habichuela,1.6997633659291385,1.4052542251087043,2.0559948858586488
Harina de trigo,2.065674253719155,1.9088549240650852,2.235376857970532
Harina precocida de maíz,1.26487262744605,0.98646849291866745,1.6218488224886298
Huevo blanco extra,1.7556605271226184,1.6053210748667102,1.920079375244231
Huevo rojo A,1.6766270348848542,1.601928165647898,1.7548091571071422
Huevo rojo AA,1.7316936248138706,1.652785194957747,1.8143693562657213
Leche en polvo,2.605348639240463,2.394868055569188,2.834327977362772
Lechuga Batavia,1.281348527697911,0.7739622643685615,2.121361886775079
Lenteja importada,2.6107195069504754,2.483382019897258,2.7445863299975564
Limón Tahití,1.443960862266097,1.1459702150355113,1.8194390608063404
Lomitos de atún en lata,4.168714914406996,3.7795241275145925,4.597982034586768
Lulo,3.871981622679294,2.8803696172948414,5.204971471837163
