alimento_sipsa,margin_median,margin_q05,margin_q95
Aguacate papelillo,0.23673473711766435,0.09884766710454304,0.4611011254440766
Ahuyama,0.76454313065321855,0.06452669896294225,1.5653593772430234
Arracacha amarilla,1.276678913261397,0.24880252490442933,2.2965404587919664
Arroz de primera,0.21596797014662805,0.1454395437363578,0.30381245840417964
Arveja verde en vaina pastusa,3.3330353644129085,2.12949310927652,5.860662200738025
Arveja verde seca importada,0.03740075589421654,-0.09114558091549815,0.1027108590148023
Avena en hojuelas,0.6875140049531995,0.630426174987426,0.7593233186460903
Avena molida,0.7859246758701615,0.7214750983014468,0.9194547787811698
Azúcar morena,0.08971206397361009,-0.04884132842946616,0.1612269358634201
Azúcar sulfitada,0.28420747842093275,0.06039031914969194,0.532646738449462
Banano criollo,0.8709587361766037,0.44276682954853935,1.1502199634974977
Bocachico importado congelado,0.6655920904436593,0.4924166702162537,0.9098046039661548
Café molido,0.06053079481250234,0.024694008211785082,0.10023933784255191
"Carne de cerdo, costilla",0.1970187401501522,0.09760366382653096,0.35896330401047666
"Carne de cerdo, espinazo",0.941445574027024,0.536751109551181,1.1488988990947377
"Carne de res, cadera",0.06401507836883802,-0.07061676048202464,0.15859278113622935
"Carne de res, costilla",-0.1317749607553106,-0.48396906813222135,-0.051522867093608565
"Carne de res, falda",1.005112489726419,0.8677903917126039,1.178759420750274
"Carne de res, lomo de brazo",0.1568833999180128,0.0715158723767313,0.3402298349789673
"Carne de res, lomo fino",-0.03368022543499172,-0.13656452314669273,0.03556792989360957
"Carne de res, pecho",0.32128678655925214,0.11245194042253773,0.48603179305133515
"Carne de res, punta de anca",0.020681181646393543,-0.1688155843389765,0.10471632211910918
Cebolla cabezona blanca bogotana,0.6873314963713819,-0.007923749789417301,2.5665433777961124
Cebolla cabezona blanca pastusa,1.003634776653683,0.206481195121825,2.7494461524342055
Curuba,0.9946690409736892,0.7087800468423027,1.42301915960393
Fríjol verde cargamanto,2.7549851436978785,2.1362810247274493,3.9822333761573034
Habichuela,0.8050132767733404,0.4795737952905564,1.1278398002775125
Harina de trigo,0.041351979663431515,-0.01100862351542938,0.08184813640290788
Harina precocida de maíz,0.2861850357532564,0.12470883230170851,0.4138853479597859
Huevo blanco extra,0.45554360635199864,0.38476433408176375,0.5550361024234534
Huevo rojo A,0.2380358335287115,0.19506276636242662,0.39800818125456916
Huevo rojo AA,0.3585234956842708,0.3018464687758519,0.5188694833561056
Leche en polvo,0.010913241091886294,-0.012481810302045884,0.03702964289024176
Lechuga Batavia,1.5771261002962218,0.9127754835922902,3.194453422630703
Lenteja importada,0.09969473613917645,-0.01161018973130669,0.2061575837423819
Limón Tahití,0.6005909946932296,0.2259746953625966,1.1206347762838031
Lomitos de atún en lata,0.5382972566094841,0.3940556423524725,0.7950887133698582
Lulo,0.3650865319740998,0.07049931001896792,0.6066787598195922
Manzana roja importada,0.5236455691760331,0.41409592843942233,0.7288429637770888
Manzana royal gala importada,0.5060480296845995,0.3328671381476152,0.7371486942455859
Manzana verde importada,0.3751001058117245,0.07989202840174335,0.5834843128013877
Maracuyá,0.6123375302338185,0.2640363824366271,0.9234525708782451
Margarina,-0.5746069089930055,-0.6270798051860629,-0.5255888738430379
Mora de Castilla,0.8526894450202087,0.5607740858313819,1.370911664524819
Naranja Valencia,1.059653989758777,0.3850782081549923,1.7080464394172603
Panela redonda morena,0.14835851911985376,-0.05942046232197308,0.2560889608412975
Papa capira,0.7212909390952322,0.19249129887502284,1.375753228652769
Papa criolla limpia,1.1377317984129074,0.2985588002132659,2.6241830726076576
Papa criolla sucia,1.4879065663717457,0.4841863513179678,3.1295159328249587
Papa nevada,0.015677798619408323,-0.2586336403404417,0.5618909757309369
Papa parda pastusa,0.6822708399676235,0.21249785122445866,1.5648630193455308
Papa suprema,0.8488554566257196,0.24311199826343322,1.7741560856513217
Papa única,1.13958392330356,0.3227233557120279,2.4286282905461865
Pastas alimenticias,0.03725455345665607,-0.039175173416147895,0.32821919853108517
Pechuga de pollo,0.12778538370143,0.05103948810632918,0.1705725004350043
Piña gold,0.25222352817367544,0.1450116324147046,0.5801607195508669
Piña manzana,0.7373981084535571,0.6389155790849651,0.949965829807083
Pollo entero congelado sin vísceras,0.23903086553923159,0.18244748415723308,0.3364005935878798
Queso campesino,0.5250456231887424,0.4836043218791236,0.5761414790418677
Repollo blanco,2.088344643679698,1.147369420828186,3.447829614802718
Sal yodada,0.1843037887570107,0.11068759703579623,0.25064058103288733
Tilapia roja entera congelada,0.9530786675664379,0.626289488718715,1.2972190121147937
Tomate de árbol,0.637658463595561,0.45248803499404844,0.9792603571952957
Tomate larga vida,0.14486719763788014,-0.07143750791920297,0.49050619238212023
Zanahoria,1.2040911780938959,0.4236426123564759,3.456810926111678
Huevo rojo extra,0.37579093997240376,0.3170196700860892,0.4205065035061112
Naranja Sweet,0.8629698589963833,0.4326418459481609,1.1463255104782522
Papa Betina,1.1318400811014602,0.4022572646087835,2.409115178592389
Cebolla cabezona roja importada,0.27005836429108987,-0.4484823763444774,1.0369913846534782
