cod_mun,articulo_ipc,alimento_sipsa,n,EG_type1,p_type1,EG_type2,p_type2,EG_type3,p_type3
05001,ARROZ PARA SECO,Arroz de primera,63,-2.4852331023082197,0.1,0.017412134030662066,0.1,-0.45782803316780757,0.1
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca,63,-3.4304320727834314,0.016875498844362374,0.9086915966040516,0.1,-0.24039787968871043,0.1
05001,PAPA,Papa R-12 negra,63,-4.101180674214624,0.01,0.5418761200572308,0.1,-0.5181000427801945,0.1
05001,PAPA,Papa capira,63,-4.010166836711602,0.01,0.3339639998014958,0.1,0.027483509542563723,0.1
05001,PAPA,Papa nevada,63,-4.339241998768171,0.01,0.16025849215112153,0.1,-0.21015635761339677,0.1
05001,PLÁTANO,Plátano guineo,63,-0.9627044203342329,0.1,1.6267223852796286,0.1,-1.0808631630502732,0.1
05001,PLÁTANO,Plátano hartón maduro,63,-1.0991050076727982,0.1,1.2658036936283923,0.1,-0.7326723014029658,0.1
05001,PLÁTANO,Plátano hartón verde,63,-1.2516638139573604,0.1,1.060747120347425,0.1,-0.5997043039396888,0.1
05001,TOMATE,Tomate larga vida,63,-4.838118833120379,0.01,-0.1648976691673475,0.1,-0.29188327010138854,0.1
05001,YUCA,Yuca ICA,63,-3.220458829366095,0.03020415689372547,0.31115742769817106,0.1,-1.0122807469173378,0.1
05001,ZANAHORIA,Zanahoria larga vida,63,-2.8578629267725293,0.058011570990788866,0.9756201625036437,0.1,-1.9638725931082326,0.1
11001,ARROZ PARA SECO,Arroz de primera,63,-2.291421756343131,0.1,-0.0178948721468307,0.1,-0.033262896904404905,0.1
11001,CEBOLLA CABEZONA,Cebolla cabezona blanca,63,-3.971326413617787,0.01,0.9270917286853416,0.1,-0.0660882533015536,0.1
11001,PAPA,Papa R-12 negra,63,-4.097472023585876,0.01,-0.26317334993696484,0.1,0.9555556801267592,0.1
11001,PAPA,Papa parda pastusa,63,-4.120607530408041,0.01,-0.1559100029172523,0.1,1.1106938683279453,0.1
11001,PAPA,Papa suprema,63,-4.11210492432351,0.01,-0.06572135508193175,0.1,1.009697312747163,0.1
11001,PAPA,Papa única,63,-4.012470933776849,0.01,-0.05666845288413502,0.1,0.9165223221149194,0.1
11001,PLÁTANO,Plátano guineo,63,-2.7905264750957346,0.06864326541272343,1.1482837057915505,0.1,0.12136743078556919,0.1
11001,PLÁTANO,Plátano hartón verde llanero,63,-2.983280491982209,0.04525973685361138,0.23233804738977196,0.1,0.13784220585574428,0.1
11001,TOMATE,Tomate chonto,63,-4.630964382193255,0.01,0.7145019372123707,0.1,-1.2680358739849433,0.1
11001,TOMATE,Tomate larga vida,63,-4.874369634879862,0.01,0.10368363321517138,0.1,-0.3953336107292473,0.1
11001,YUCA,Yuca llanera,63,-0.7293234158814399,0.1,-1.4925632357582304,0.1,1.5838516363850388,0.1
11001,ZANAHORIA,Zanahoria,63,-3.446124938956062,0.01587934884150853,0.8030045194571839,0.1,-1.6550972276064326,0.1
76001,ARROZ PARA SECO,Arroz de primera,63,-3.091722732628033,0.03837605243672534,-0.1125967835607654,0.1,-0.48219502105665174,0.1
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,63,-4.185978732797196,0.01,0.8554045193119467,0.1,-0.17243205299810324,0.1
76001,PAPA,Papa capira,63,-3.93138221469824,0.01,0.18142144660972825,0.1,0.149325103923433,0.1
76001,PAPA,Papa parda pastusa,63,-3.596216227058747,0.01,0.4193199186254378,0.1,0.17850914284615388,0.1
76001,PAPA,Papa suprema,63,-3.5141384036994006,0.011561997737327197,0.37265459089454733,0.1,0.2362749158753173,0.1
76001,PAPA,Papa única,63,-3.5137561181452925,0.011586264416952608,0.20098426284817655,0.1,0.39334232329391816,0.1
76001,PLÁTANO,Plátano hartón verde,63,-1.8980989939719857,0.1,0.6646847986871537,0.1,-1.1169565056927084,0.1
76001,TOMATE,Tomate larga vida,63,-4.516388617688773,0.01,-0.32412718630824694,0.1,-0.22303374844454307,0.1
76001,YUCA,Yuca ICA,63,-1.7797260521213112,0.1,-0.31799786488251364,0.1,0.4793739795040373,0.1
76001,ZANAHORIA,Zanahoria bogotana,63,-3.042595616714237,0.0414945380033123,1.0562520139453468,0.1,-1.7331554752082055,0.1
